ts,cpu_percent,rss_mb,power_w,energy_j_total
1760315611.302257,49.00,242.17,0.000,0.000000
1760315612.3023012,16.00,243.17,1.466,1.466401
1760315613.3022604,18.00,243.42,0.757,2.223518
1760315614.3022528,43.00,243.54,1.218,3.441259
1760315615.302253,18.00,243.67,1.297,4.738174
1760315616.30226,0.00,243.67,0.166,4.904166
1760315617.3022485,0.00,243.67,0.085,4.988863
1760315618.3022501,0.00,243.67,0.132,5.120799
1760315619.3023083,1.00,243.67,0.069,5.190146
1760315620.3022661,0.00,243.67,0.074,5.264056
1760315621.3023028,0.00,243.67,0.062,5.326461
1760315622.302299,0.00,243.67,0.156,5.482383
1760315623.302299,1.00,243.67,0.088,5.570315
1760315624.3022513,0.00,243.67,0.168,5.738610
1760315625.3022978,0.00,243.67,0.088,5.826954
1760315626.3022692,0.00,243.67,0.140,5.966901
1760315627.3022513,0.00,243.67,0.132,6.099081
1760315628.3022978,0.00,243.67,0.058,6.156603
1760315629.30225,1.00,243.67,0.053,6.209533
1760315630.3023002,1.00,243.67,0.077,6.286418
1760315631.302253,0.00,243.67,0.118,6.404042
1760315632.302294,0.00,243.67,0.068,6.472215
1760315633.302262,0.00,243.67,0.078,6.549939
1760315634.3022985,0.00,243.67,0.090,6.640145
1760315635.3022983,1.00,243.67,0.093,6.733173
1760315636.302299,0.00,243.67,0.100,6.832792
1760315637.3022482,0.00,243.67,0.117,6.949348
1760315638.302297,0.00,243.67,0.120,7.068864
1760315639.3022487,0.00,243.67,0.152,7.220620
1760315640.302299,1.00,243.79,0.240,7.460827
1760315641.302256,0.00,243.79,0.098,7.558600
1760315642.302297,0.00,243.79,0.053,7.611972
1760315643.3023043,0.00,243.79,0.073,7.685333
1760315644.30227,0.00,243.79,0.069,7.754696
1760315645.3022962,1.00,243.79,0.084,7.838248
1760315646.3022988,0.00,243.79,0.065,7.903675
1760315647.3022995,0.00,243.79,0.059,7.962555
1760315648.302304,0.00,243.79,0.054,8.016721
