ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760317719.826262,0,21.601,0.000000,0.000000,8,9,1399,55
1760317720.826230,1,35.753,38.568000,38.568000,7,9,1899,56
1760317721.826218,2,35.628,46.007000,84.575000,7,8,2399,57
1760317722.826284,3,34.943,45.464000,130.039000,8,9,2899,57
1760317723.826267,4,34.616,45.485000,175.524000,7,8,2899,57
1760317724.826245,5,35.409,38.245000,213.769000,7,9,2899,57
1760317725.826269,6,35.678,38.571000,252.340000,7,9,2899,57
1760317726.826222,7,35.766,38.486000,290.826000,7,9,2899,58
1760317727.826239,8,35.899,38.559000,329.385000,8,9,2899,58
1760317728.826223,9,35.501,38.296000,367.681000,6,8,2899,58
1760317729.826216,10,34.936,37.647000,405.328000,8,9,2899,58
1760317730.826268,11,35.056,37.816000,443.144000,7,9,2899,58
1760317731.826269,12,35.253,38.107000,481.251000,7,9,2899,58
1760317732.826220,13,35.494,38.149000,519.400000,7,9,2899,59
1760317733.826268,14,35.435,38.210000,557.610000,7,8,2899,59
1760317734.826270,15,35.603,38.392000,596.002000,7,9,2899,59
1760317735.826267,16,35.657,38.349000,634.351000,7,8,2899,59
1760317736.826266,17,35.891,38.769000,673.120000,8,9,2899,59
1760317737.826263,18,36.283,39.151000,712.271000,7,9,2899,59
1760317738.826223,19,36.098,38.860000,751.131000,7,8,2899,59
1760317739.826267,20,35.813,38.659000,789.790000,7,8,2899,60
1760317740.826219,21,35.834,39.080000,828.870000,7,8,2899,60
1760317741.826221,22,36.186,39.516000,868.386000,8,9,2899,60
1760317742.826272,23,36.207,39.654000,908.040000,6,8,2899,60
1760317743.826240,24,35.763,39.549000,947.589000,7,9,2899,60
1760317744.826268,25,35.693,39.433000,987.022000,7,9,2899,60
1760317745.826231,26,35.685,39.433000,1026.455000,7,9,2899,61
1760317746.826219,27,35.897,39.784000,1066.239000,7,9,2899,61
1760317747.826222,28,35.860,39.898000,1106.137000,7,9,2899,61
1760317748.826241,29,35.842,39.933000,1146.070000,7,8,2899,61
1760317749.826244,30,35.941,40.291000,1186.361000,7,9,2899,61
1760317750.826223,31,36.045,40.583000,1226.944000,6,8,2899,61
1760317751.826221,32,36.075,40.890000,1267.834000,7,9,2899,61
1760317752.826226,33,36.442,41.293000,1309.127000,8,9,2899,62
1760317753.826217,34,36.633,41.678000,1350.805000,7,8,2899,62
1760317754.826267,35,36.416,41.654000,1392.459000,7,9,2899,62
1760317755.826232,36,36.803,42.287000,1434.746000,7,9,2899,62
1760317756.826271,37,37.405,43.167000,1477.913000,7,9,2899,62
1760317757.826230,38,37.237,42.817000,1520.730000,8,9,2899,62
1760317758.826265,39,36.953,42.936000,1563.666000,7,9,2899,62
1760317759.826270,40,36.221,42.262000,1605.928000,8,9,2899,61
1760317760.826270,41,36.858,43.094000,1649.022000,8,9,2899,61
1760317761.826267,42,36.934,43.475000,1692.497000,6,8,2899,62
1760317762.826264,43,37.182,44.030000,1736.527000,6,8,2899,61
1760317763.826268,44,37.536,44.406000,1780.933000,7,9,2899,61
1760317764.826225,45,37.190,44.091000,1825.024000,8,9,2899,61
1760317765.826222,46,36.685,43.692000,1868.716000,6,8,2899,61
1760317766.826221,47,36.668,44.108000,1912.824000,7,8,2899,61
1760317767.826220,48,36.679,44.299000,1957.123000,8,9,2899,61
1760317768.826274,49,36.457,44.077000,2001.200000,7,9,2899,61
1760317769.826220,50,36.413,44.259000,2045.459000,7,9,2899,61
1760317770.826269,51,35.952,43.923000,2089.382000,8,9,2899,60
1760317771.826269,52,36.131,44.428000,2133.810000,7,9,2899,60
1760317772.826221,53,36.292,44.620000,2178.430000,7,9,2899,60
1760317773.826265,54,36.095,44.619000,2223.049000,8,9,2899,60
1760317774.826268,55,36.008,44.800000,2267.849000,6,8,2899,60
1760317775.826267,56,36.415,45.462000,2313.311000,7,9,2899,60
1760317776.826269,57,36.291,45.483000,2358.794000,7,9,2899,60
1760317777.826225,58,36.335,45.647000,2404.441000,7,9,2899,60
1760317778.826242,59,36.411,45.807000,2450.248000,7,9,2899,60
1760317779.826219,60,36.033,45.633000,2495.881000,7,9,2899,60
1760317780.826221,61,36.204,46.178000,2542.059000,7,9,2899,60
1760317781.826226,62,36.212,46.574000,2588.633000,7,8,2899,59
1760317782.826221,63,36.289,46.838000,2635.471000,7,9,2899,59
1760317783.826225,64,36.435,46.902000,2682.373000,8,9,2899,59
1760317784.826234,65,36.343,46.724000,2729.097000,6,8,2899,59
1760317785.826223,66,36.751,47.652000,2776.749000,7,8,2899,59
1760317786.826223,67,36.812,47.670000,2824.419000,8,9,2899,59
1760317787.826224,68,36.833,47.726000,2872.145000,7,8,2899,59
1760317788.826221,69,36.375,39.107000,2911.252000,8,9,2899,59
1760317789.826220,70,36.465,39.124000,2950.376000,7,9,2899,59
1760317790.826440,71,35.965,38.611000,2988.987000,6,8,2899,59
1760317791.826218,72,36.041,38.759000,3027.746000,6,8,2899,59
1760317792.826222,73,35.944,38.730000,3066.476000,7,9,2899,59
1760317793.826217,74,36.027,38.760000,3105.236000,7,8,2899,59
1760317794.826232,75,36.250,38.967000,3144.203000,7,9,2899,59
1760317795.826221,76,36.021,38.713000,3182.916000,8,9,2899,58
1760317796.826229,77,35.989,38.704000,3221.620000,7,8,2899,58
1760317797.826222,78,35.911,38.648000,3260.268000,7,9,3009,58
1760317798.826249,79,35.732,38.470000,3298.738000,7,9,2815,58
