ts,cpu_percent,rss_mb,power_w,energy_j_total
1760321187.213582,66.00,192.92,0.000,0.000000
1760321188.2136292,14.00,193.29,1.197,1.196593
1760321189.2136264,13.00,193.42,0.768,1.964284
1760321190.213627,17.00,193.54,1.139,3.102851
1760321191.2136254,9.00,193.79,1.009,4.111939
1760321192.213627,0.00,193.79,0.072,4.184201
1760321193.2136257,0.00,193.79,0.065,4.249475
1760321194.213598,1.00,193.79,0.086,4.335896
1760321195.2135758,0.00,193.79,0.082,4.418091
1760321196.2135744,0.00,193.79,0.118,4.535989
1760321197.2136045,0.00,193.79,0.097,4.632725
1760321198.2135992,0.00,193.79,0.104,4.736312
1760321199.213624,0.00,193.79,0.091,4.827799
1760321200.213581,1.00,193.79,0.081,4.908925
1760321201.2135751,0.00,193.79,0.084,4.992829
1760321202.213577,1.00,193.79,0.055,5.047804
1760321203.2135985,0.00,193.79,0.066,5.114115
1760321204.213603,0.00,193.79,0.090,5.203847
1760321205.2135775,0.00,193.79,0.079,5.282945
1760321206.2136328,0.00,193.79,0.082,5.364682
1760321207.2136261,1.00,193.79,0.099,5.463508
1760321208.2136118,0.00,193.79,0.083,5.546786
1760321209.2135794,0.00,193.79,0.086,5.632414
1760321210.2135773,0.00,193.79,0.065,5.697062
1760321211.213576,0.00,193.79,0.072,5.768866
1760321212.2135737,0.00,193.79,0.053,5.822025
1760321213.213576,1.00,193.79,0.126,5.947705
1760321214.2135808,0.00,193.79,0.138,6.086172
1760321215.2135777,0.00,193.79,0.101,6.187058
1760321216.2135758,0.00,193.79,0.093,6.279887
1760321217.213623,0.00,193.79,0.050,6.329918
1760321218.2136452,1.00,193.79,0.071,6.401036
1760321219.2136219,0.00,193.79,0.095,6.495574
1760321220.2136245,0.00,193.79,0.079,6.574550
1760321221.2135882,0.00,193.79,0.100,6.674795
1760321222.213586,0.00,193.79,0.060,6.735155
1760321223.2136245,0.00,193.79,0.075,6.810179
1760321224.213623,0.00,193.79,0.067,6.877101
1760321225.2136257,0.00,193.79,0.091,6.968115
1760321226.2136266,1.00,193.79,0.081,7.048646
1760321227.2136312,0.00,193.79,0.103,7.151821
1760321228.2135794,0.00,193.79,0.068,7.219673
1760321229.2136226,0.00,193.79,0.062,7.281804
1760321230.2135804,0.00,193.79,0.044,7.325365
1760321231.2136252,1.00,193.79,0.060,7.385116
1760321232.213579,0.00,193.79,0.066,7.451305
1760321233.2135785,0.00,193.79,0.084,7.535544
1760321234.2136223,0.00,193.79,0.097,7.632250
1760321235.2135813,0.00,193.79,0.046,7.678680
1760321236.2135775,0.00,193.79,0.098,7.776743
1760321237.213622,1.00,193.79,0.059,7.835578
1760321238.2136245,1.00,193.79,0.061,7.896396
1760321239.2135885,0.00,193.79,0.058,7.954651
1760321240.2136304,0.00,193.79,0.088,8.042568
1760321241.2136366,0.00,193.79,0.186,8.228151
1760321242.2136219,0.00,193.79,0.082,8.310422
1760321243.2135794,0.00,193.79,0.057,8.367517
1760321244.2136245,0.00,193.79,0.111,8.478855
1760321245.2135751,1.00,193.79,0.075,8.553894
1760321246.213576,0.00,193.79,0.127,8.680932
1760321247.2136252,0.00,193.79,0.072,8.753224
1760321248.2135792,0.00,193.79,0.068,8.821397
1760321249.2136252,0.00,193.79,0.068,8.889249
1760321250.213576,0.00,193.79,0.090,8.979134
