ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760322592.697100,0,11.799,0.000000,0.000000,2,0,863,53
1760322593.697096,1,27.699,38.937000,38.937000,8,9,1399,55
1760322594.697139,2,34.919,44.121000,83.058000,9,10,1728,56
1760322595.697107,3,35.683,44.864000,127.922000,9,10,2202,57
1760322596.697111,4,36.014,45.082000,173.004000,8,9,2871,57
1760322597.697127,5,34.147,43.538000,216.542000,7,9,2899,57
1760322598.697140,6,35.114,44.987000,261.529000,8,9,2899,57
1760322599.697089,7,35.349,45.164000,306.693000,8,9,2899,57
1760322600.697140,8,35.090,44.887000,351.580000,6,8,2899,58
1760322601.697110,9,35.149,45.398000,396.978000,7,9,2899,58
1760322602.697104,10,34.941,45.396000,442.374000,7,9,2899,58
1760322603.697141,11,34.287,44.667000,487.041000,7,8,2899,58
1760322604.697096,12,34.462,45.274000,532.315000,6,8,2899,58
1760322605.697144,13,34.729,45.503000,577.818000,7,8,2899,58
1760322606.697138,14,34.860,46.208000,624.026000,7,9,2899,59
1760322607.697089,15,35.193,37.889000,661.915000,8,9,2899,59
1760322608.697142,16,35.454,38.146000,700.061000,8,9,2899,59
1760322609.697185,17,35.185,37.898000,737.959000,7,8,2899,59
1760322610.697113,18,35.068,37.828000,775.787000,7,8,2899,59
1760322611.697139,19,35.178,37.898000,813.685000,6,8,2899,59
1760322612.697139,20,35.362,38.195000,851.880000,7,9,2899,59
1760322613.697154,21,34.957,37.630000,889.510000,7,9,2899,59
1760322614.697142,22,34.964,37.766000,927.276000,7,8,2899,60
1760322615.697091,23,35.355,38.079000,965.355000,8,9,2899,60
1760322616.697090,24,35.379,38.084000,1003.439000,7,9,2899,60
1760322617.697112,25,35.141,38.009000,1041.448000,7,9,2899,60
1760322618.697140,26,35.092,37.785000,1079.233000,6,8,2899,60
1760322619.697095,27,34.472,37.287000,1116.520000,7,9,2899,60
1760322620.697140,28,34.760,37.448000,1153.968000,6,8,2899,61
1760322621.697145,29,35.031,37.923000,1191.891000,7,9,2899,61
1760322622.697141,30,35.086,41.411000,1233.302000,6,8,2899,61
1760322623.697089,31,35.147,35.642000,1268.944000,7,9,2899,61
1760322624.697109,32,35.540,35.651000,1304.595000,7,9,2899,61
1760322625.697139,33,35.472,36.032000,1340.627000,7,9,2899,61
1760322626.697112,34,35.886,36.158000,1376.785000,7,9,2899,61
1760322627.697140,35,35.507,36.367000,1413.152000,7,9,2899,61
1760322628.697112,36,35.522,36.008000,1449.160000,6,8,2899,62
1760322629.697090,37,35.185,35.983000,1485.143000,7,8,2899,62
1760322630.697376,38,35.376,36.302000,1521.445000,7,8,2899,61
1760322631.697111,39,35.890,37.208000,1558.653000,7,9,2899,62
1760322632.697113,40,36.485,37.789000,1596.442000,7,9,2899,61
1760322633.697139,41,36.589,37.825000,1634.267000,6,8,2899,62
1760322634.697139,42,35.482,37.438000,1671.705000,7,9,2899,61
1760322635.697092,43,35.776,37.903000,1709.608000,6,8,2899,61
1760322636.697100,44,35.338,37.382000,1746.990000,7,8,2899,61
1760322637.697092,45,35.444,37.911000,1784.901000,8,9,2899,61
1760322638.697138,46,35.009,37.279000,1822.180000,7,10,2899,61
1760322639.697139,47,35.620,36.071000,1858.251000,6,8,2899,61
1760322640.697140,48,35.422,35.823000,1894.074000,6,8,2899,61
1760322641.697139,49,35.715,36.269000,1930.343000,7,9,2899,61
1760322642.697163,50,35.375,36.013000,1966.356000,6,8,2899,60
1760322643.697105,51,35.523,36.584000,2002.940000,7,8,2899,60
1760322644.697143,52,35.304,36.296000,2039.236000,6,8,2899,60
1760322645.697113,53,34.384,35.692000,2074.928000,5,7,2899,60
1760322646.697088,54,35.224,36.720000,2111.648000,7,8,2899,60
1760322647.697113,55,34.547,36.179000,2147.827000,7,9,2899,60
1760322648.697110,56,35.474,37.094000,2184.921000,6,8,2899,60
1760322649.697093,57,34.827,36.983000,2221.904000,8,9,2899,60
1760322650.697093,58,35.259,37.299000,2259.203000,7,8,2899,60
1760322651.697134,59,34.267,36.118000,2295.321000,6,9,2899,59
1760322652.697141,60,34.432,37.464000,2332.785000,7,9,2899,59
1760322653.697140,61,35.384,38.250000,2371.035000,7,9,2899,59
1760322654.697115,62,35.420,38.170000,2409.205000,6,8,2899,59
1760322655.697143,63,35.493,38.612000,2447.817000,7,9,2899,59
1760322656.697142,64,35.283,38.455000,2486.272000,6,8,2899,59
1760322657.697144,65,35.773,39.427000,2525.699000,7,9,2899,59
1760322658.697141,66,35.503,39.019000,2564.718000,5,7,2899,59
1760322659.697105,67,35.697,39.867000,2604.585000,7,9,2899,59
1760322660.697113,68,35.862,39.532000,2644.117000,6,8,2899,59
1760322661.697140,69,35.613,39.889000,2684.006000,7,9,2899,59
1760322662.697103,70,35.895,40.011000,2724.017000,7,9,2899,59
1760322663.697141,71,35.081,39.607000,2763.624000,7,9,2899,58
1760322664.697137,72,35.533,40.139000,2803.763000,6,8,2899,59
1760322665.697143,73,35.118,40.005000,2843.768000,7,9,2899,58
1760322666.697091,74,35.846,40.737000,2884.505000,8,9,2899,58
1760322667.697140,75,35.825,40.856000,2925.361000,6,8,2899,58
1760322668.697111,76,35.738,41.181000,2966.542000,8,9,2899,58
1760322669.697115,77,35.527,40.637000,3007.179000,6,8,2899,58
1760322670.697113,78,35.080,40.725000,3047.904000,8,9,2899,58
1760322671.697105,79,35.151,38.373000,3086.277000,6,8,2899,58
1760322672.697094,80,35.271,37.913000,3124.190000,6,8,2899,58
1760322673.697095,81,35.295,40.232000,3164.422000,7,9,2899,58
1760322674.697217,82,35.132,39.847000,3204.269000,6,8,2899,58
1760322675.697108,83,35.170,38.270000,3242.539000,7,9,2899,58
1760322676.697094,84,35.347,38.287000,3280.826000,7,8,2899,58
1760322677.697142,85,34.950,39.946000,3320.772000,7,9,2899,58
1760322678.697142,86,34.528,39.295000,3360.067000,5,7,2899,58
1760322679.697136,87,34.950,39.471000,3399.538000,7,9,2899,58
1760322680.697128,88,34.852,37.964000,3437.502000,7,9,2899,57
1760322681.697143,89,35.051,37.969000,3475.471000,7,9,2899,58
1760322682.697143,90,34.897,37.712000,3513.183000,7,9,2899,57
1760322683.697141,91,34.647,39.498000,3552.681000,6,8,2899,58
1760322684.697143,92,34.798,38.049000,3590.730000,7,9,2899,57
1760322685.697094,93,34.449,39.384000,3630.114000,6,7,2899,57
1760322686.697112,94,34.778,37.680000,3667.794000,7,9,2899,57
1760322687.697143,95,34.396,39.075000,3706.869000,6,8,2899,57
1760322688.697139,96,34.400,37.623000,3744.492000,5,7,2899,57
1760322689.697150,97,34.438,37.429000,3781.921000,6,8,2899,57
1760322690.697105,98,34.133,39.061000,3820.982000,6,7,2899,57
1760322691.697136,99,34.451,38.361000,3859.343000,7,8,2899,57
1760322692.697141,100,34.433,38.246000,3897.589000,6,8,2899,57
