ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760326652.165530,0,11.614,0.000000,0.000000,0,0,396,54
1760326653.165501,1,11.903,15.514000,15.514000,2,1,899,54
1760326654.165506,2,28.054,35.819000,51.333000,9,10,1399,57
1760326655.165525,3,35.403,36.713000,88.046000,7,9,1399,57
1760326656.165526,4,35.885,37.543000,125.589000,9,9,1899,58
1760326657.165497,5,35.610,37.286000,162.875000,7,9,1899,58
1760326658.165500,6,35.638,37.873000,200.748000,8,9,2202,59
1760326659.165523,7,36.331,38.014000,238.762000,7,9,2399,59
1760326660.165524,8,36.031,38.594000,277.356000,8,9,2702,59
1760326661.165540,9,36.484,38.753000,316.109000,8,9,2899,60
1760326662.165516,10,36.150,38.685000,354.794000,7,9,2899,59
1760326663.165494,11,36.096,38.743000,393.537000,8,9,2899,60
1760326664.165505,12,35.934,38.507000,432.044000,7,9,2899,60
1760326665.165972,13,35.717,38.813000,470.857000,6,8,2899,60
1760326666.165524,14,35.596,39.401000,510.258000,7,9,2899,60
1760326667.165525,15,35.645,38.907000,549.165000,8,9,2899,60
1760326668.165511,16,35.489,39.119000,588.284000,6,8,2899,60
1760326669.165543,17,35.593,39.752000,628.036000,6,8,2899,61
1760326670.165545,18,35.887,39.970000,668.006000,7,9,2899,61
1760326671.165544,19,36.104,40.157000,708.163000,7,9,2899,61
1760326672.165506,20,36.059,40.652000,748.815000,6,8,2899,61
1760326673.165540,21,36.177,40.711000,789.526000,6,8,2899,61
1760326674.165547,22,36.189,41.066000,830.592000,7,9,2899,61
1760326675.165497,23,36.323,41.068000,871.660000,7,9,2899,61
1760326676.165543,24,36.324,41.338000,912.998000,7,9,2899,62
1760326677.165547,25,36.181,41.529000,954.527000,7,9,2899,61
1760326678.165545,26,36.075,41.746000,996.273000,6,8,2899,62
1760326679.165831,27,36.488,42.412000,1038.685000,7,9,2899,61
1760326680.165505,28,36.373,38.755000,1077.440000,7,9,2899,61
1760326681.165549,29,36.117,41.098000,1118.538000,6,8,2899,61
1760326682.165522,30,36.117,41.232000,1159.770000,7,8,2899,61
1760326683.165543,31,36.321,39.101000,1198.871000,7,9,2899,61
1760326684.165541,32,35.689,39.199000,1238.070000,6,8,2899,61
1760326685.165498,33,36.104,41.084000,1279.154000,8,9,2899,61
1760326686.165523,34,36.314,40.941000,1320.095000,7,8,2899,61
1760326687.165496,35,35.834,38.761000,1358.856000,6,8,2899,61
1760326688.165507,36,36.130,39.497000,1398.353000,7,9,2899,61
1760326689.165499,37,36.211,40.950000,1439.303000,7,9,2899,60
1760326690.165509,38,35.965,39.355000,1478.658000,6,8,2899,61
