ts,cpu_percent,rss_mb,power_w,energy_j_total
1760326893.384528,71.00,151.97,0.000,0.000000
1760326894.3844929,100.00,152.35,0.377,0.377331
1760326895.384507,171.00,152.35,1.162,1.539166
1760326896.3845236,189.00,152.47,1.321,2.859700
1760326897.3844993,260.00,152.60,1.405,4.264642
1760326898.3844967,130.00,152.72,1.763,6.027200
1760326899.384548,3.00,152.85,1.007,7.033862
1760326900.384497,0.00,152.85,0.091,7.125135
1760326901.3845084,1.00,152.85,0.093,7.218041
1760326902.3845415,0.00,152.85,0.058,7.275976
1760326903.3844981,0.00,152.85,0.170,7.446362
1760326904.3845444,0.00,152.85,0.074,7.520714
1760326905.3845289,0.00,152.85,0.125,7.646028
1760326906.3845444,0.00,152.85,0.129,7.774791
1760326907.3845456,0.00,152.85,0.087,7.861929
1760326908.3845515,1.00,152.85,0.066,7.927584
1760326909.3845081,0.00,152.85,0.064,7.991652
1760326910.3845084,0.00,152.85,0.086,8.077647
1760326911.384544,0.00,152.85,0.064,8.141593
1760326912.3844945,0.00,152.85,0.067,8.208225
1760326913.3845432,0.00,152.85,0.078,8.286590
1760326914.384545,0.00,152.85,0.066,8.352947
1760326915.3844988,0.00,152.85,0.063,8.416420
1760326916.3845074,1.00,152.85,0.098,8.514666
1760326917.3845458,0.00,152.85,0.227,8.741370
1760326918.3844962,0.00,152.85,0.062,8.803790
1760326919.3845406,0.00,152.85,0.061,8.864624
1760326920.3845434,1.00,152.85,0.064,8.928158
1760326921.384545,0.00,152.85,0.049,8.976892
1760326922.3845453,0.00,152.85,0.085,9.061940
1760326923.384509,0.00,152.85,0.060,9.122041
1760326924.3845472,0.00,152.85,0.055,9.177352
1760326925.3845081,0.00,152.85,0.062,9.239742
1760326926.3845446,0.00,152.85,0.135,9.374485
1760326927.3845458,1.00,152.85,0.127,9.501691
1760326928.3844988,0.00,152.85,0.126,9.627722
1760326929.3845155,0.00,152.85,0.091,9.718416
1760326930.3844986,0.00,152.85,0.080,9.798398
1760326931.3845446,0.00,152.85,0.076,9.874810
1760326932.384507,0.00,152.85,0.057,9.931509
1760326933.3844988,0.00,152.85,0.090,10.021516
1760326934.3845448,0.00,152.85,0.074,10.095563
1760326935.3844998,1.00,152.85,0.120,10.215323
1760326936.3844986,0.00,152.85,0.061,10.276050
1760326937.3845458,0.00,152.85,0.084,10.359740
1760326938.3845167,1.00,152.85,0.094,10.454095
1760326939.3845074,0.00,152.85,0.075,10.529516
1760326940.3845487,0.00,152.85,0.062,10.591875
1760326941.384545,0.00,152.85,0.063,10.654830
1760326942.3845415,0.00,152.85,0.082,10.736612
1760326943.3845167,1.00,152.85,0.061,10.797721
1760326944.3845105,0.00,152.85,0.096,10.893343
1760326945.3845456,0.00,152.85,0.103,10.996349
1760326946.3844981,0.00,152.85,0.070,11.066689
1760326947.3844962,0.00,152.85,0.068,11.134205
1760326948.3845456,0.00,152.85,0.071,11.204789
1760326949.3845432,0.00,152.85,0.066,11.270673
1760326950.3845046,0.00,152.85,0.072,11.342828
1760326951.3845181,1.00,152.85,0.067,11.409368
1760326952.3845446,0.00,152.85,0.184,11.593334
1760326953.3845456,0.00,152.85,0.074,11.667473
1760326954.3845453,0.00,152.85,0.061,11.728749
1760326955.3845003,0.00,152.85,0.086,11.814865
1760326956.384544,0.00,152.85,0.077,11.891902
1760326957.3845189,0.00,152.85,0.072,11.963844
1760326958.3845444,0.00,152.85,0.050,12.013951
1760326959.3845468,1.00,152.85,0.070,12.084336
1760326960.3847866,0.00,152.85,0.057,12.141661
1760326961.3845453,0.00,152.85,0.085,12.227075
1760326962.3844984,0.00,152.85,0.107,12.333744
1760326963.3845437,0.00,152.85,0.109,12.442533
1760326964.3845482,0.00,152.85,0.090,12.532830
1760326965.384497,1.00,152.85,0.078,12.611226
1760326966.3845425,21.00,153.72,0.532,13.143135
1760326967.3845417,1.00,153.72,0.049,13.192510
1760326968.384528,71.00,153.72,0.747,13.939496
1760326969.3845072,18.00,153.72,0.659,14.598656
1760326970.384516,0.00,153.72,0.122,14.720934
1760326971.3844962,0.00,153.72,0.084,14.804456
1760326972.3845406,0.00,153.72,0.105,14.909752
1760326973.3845444,1.00,153.72,0.081,14.991184
1760326974.3845158,0.00,153.72,0.401,15.392439
1760326975.3844903,60.00,153.72,0.320,15.712735
1760326976.3845282,97.00,153.72,1.417,17.129745
1760326977.3845537,0.00,153.72,0.706,17.835824
1760326978.3845427,0.00,153.72,0.079,17.914876
1760326979.3845463,1.00,153.72,0.243,18.158287
1760326980.3845482,0.00,153.72,0.085,18.242984
1760326981.3845143,1.00,153.72,0.082,18.325041
1760326982.3845482,0.00,153.72,0.120,18.444878
1760326983.3844993,0.00,153.72,0.068,18.512516
1760326984.384496,0.00,153.72,0.066,18.578034
1760326985.3845396,0.00,153.72,0.093,18.671413
1760326986.384543,0.00,153.72,0.123,18.794042
1760326987.3845463,0.00,153.72,0.077,18.870652
1760326988.384544,0.00,153.72,0.096,18.966396
1760326989.3845181,1.00,153.72,0.055,19.021264
1760326990.3844967,0.00,153.72,0.060,19.081747
1760326991.3845453,0.00,153.72,0.056,19.138140
1760326992.3844988,0.00,153.72,0.100,19.238050
1760326993.3845022,0.00,153.72,0.050,19.287974
1760326994.3845117,0.00,153.72,0.083,19.370748
1760326995.3844974,0.00,153.72,0.100,19.470810
1760326996.3844965,1.00,153.72,0.061,19.531385
1760326997.384508,0.00,153.72,0.066,19.596933
1760326998.3844993,0.00,153.72,0.058,19.654913
1760326999.384498,0.00,153.72,0.115,19.769547
1760327000.3844981,0.00,153.72,0.100,19.869792
1760327001.3844976,0.00,153.72,0.140,20.009342
1760327002.3844972,0.00,153.72,0.066,20.075363
1760327003.384498,0.00,153.72,0.089,20.164302
1760327004.3845081,1.00,153.72,0.058,20.222374
1760327005.3844953,0.00,153.72,0.052,20.274678
1760327006.384493,0.00,153.72,0.075,20.349442
1760327007.384494,0.00,153.72,0.140,20.489740
1760327008.3844984,0.00,153.72,0.074,20.563878
1760327009.3844967,0.00,153.72,0.089,20.652802
1760327010.3844929,0.00,153.72,0.070,20.723034
1760327011.3845077,0.00,153.72,0.151,20.873570
1760327012.3844976,1.00,153.72,0.120,20.993879
1760327013.3844976,1.00,153.72,0.441,21.435110
1760327014.3845067,65.00,153.72,1.156,22.591316
1760327015.384492,99.00,153.72,1.408,23.998851
1760327016.3844893,50.00,153.72,1.121,25.119902
1760327017.3844953,40.00,153.72,1.028,26.147452
1760327018.3844962,0.00,153.72,0.111,26.258210
1760327019.3844967,1.00,153.72,0.262,26.519793
1760327020.3844972,0.00,153.72,0.080,26.599867
1760327021.3846407,0.00,153.72,0.127,26.727073
1760327022.384495,0.00,153.72,0.076,26.802844
1760327023.3845098,0.00,153.72,0.197,27.000282
1760327024.3845203,0.00,153.72,0.107,27.107424
1760327025.3845425,1.00,153.72,0.168,27.275750
1760327026.3845398,0.00,153.72,0.091,27.366459
1760327027.3845427,0.00,153.72,0.059,27.425080
1760327028.3845487,0.00,153.72,0.080,27.504590
1760327029.3845453,0.00,153.72,0.069,27.573434
1760327030.3844936,0.00,153.72,0.046,27.619254
