ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760329906.863988,0,19.703,0.000000,0.000000,7,10,1399,55
1760329907.864032,1,35.253,36.382000,36.382000,7,9,1899,56
1760329908.864029,2,35.966,36.069000,72.451000,6,8,2399,56
1760329909.863990,3,35.711,35.818000,108.269000,6,8,2899,57
1760329910.863981,4,34.952,34.948000,143.217000,7,9,2899,57
1760329911.864032,5,34.988,35.296000,178.513000,7,9,2899,57
1760329912.863981,6,35.162,35.765000,214.278000,7,9,2899,57
1760329913.864028,7,35.170,35.776000,250.054000,7,9,2899,57
1760329914.863980,8,35.206,36.171000,286.225000,7,9,2899,57
1760329915.863979,9,35.268,36.291000,322.516000,8,9,2899,58
1760329916.863978,10,35.523,38.834000,361.350000,8,9,2899,58
1760329917.863983,11,35.654,39.241000,400.591000,8,9,2899,58
1760329918.863996,12,35.772,39.413000,440.004000,7,9,2899,58
1760329919.864030,13,35.765,39.437000,479.441000,7,9,2899,58
1760329920.864038,14,35.858,39.374000,518.815000,7,9,2899,58
1760329921.864019,15,35.946,39.598000,558.413000,7,9,2899,59
1760329922.864029,16,35.979,39.627000,598.040000,7,9,2899,59
1760329923.863981,17,35.980,39.524000,637.564000,7,9,2899,59
1760329924.864028,18,35.845,39.495000,677.059000,7,9,2899,59
1760329925.863983,19,35.636,39.277000,716.336000,7,9,2899,59
1760329926.863983,20,35.718,39.510000,755.846000,7,9,2899,59
1760329927.864028,21,35.873,39.648000,795.494000,7,9,2899,59
1760329928.863981,22,35.974,39.660000,835.154000,7,9,2899,60
1760329929.864000,23,35.901,39.602000,874.756000,7,9,2899,60
1760329930.864028,24,35.918,39.462000,914.218000,6,9,2899,60
1760329931.864022,25,36.150,39.902000,954.120000,7,9,2899,60
1760329932.864025,26,36.180,39.827000,993.947000,7,9,2899,60
1760329933.864029,27,36.367,40.224000,1034.171000,7,9,2899,60
1760329934.864029,28,36.525,40.250000,1074.421000,8,9,2899,61
1760329935.864033,29,36.610,37.044000,1111.465000,7,9,2899,61
1760329936.864032,30,36.759,37.419000,1148.884000,7,9,2899,61
1760329937.864029,31,37.206,37.834000,1186.718000,7,9,2899,61
1760329938.863988,32,37.131,38.133000,1224.851000,8,9,2899,61
1760329939.863981,33,36.912,38.024000,1262.875000,7,9,2899,61
1760329940.863977,34,36.932,38.305000,1301.180000,7,8,2899,61
1760329941.863981,35,37.066,38.771000,1339.951000,8,9,2899,61
1760329942.863981,36,37.311,39.090000,1379.041000,7,9,2899,62
1760329943.863977,37,37.496,39.130000,1418.171000,8,9,2899,62
1760329944.863980,38,37.475,39.164000,1457.335000,7,9,2899,62
1760329945.863978,39,37.246,39.301000,1496.636000,6,8,2899,61
1760329946.863981,40,37.219,39.528000,1536.164000,7,9,2899,61
1760329947.863985,41,37.203,39.739000,1575.903000,7,9,2899,62
1760329948.863981,42,37.234,39.809000,1615.712000,7,9,2899,61
1760329949.863977,43,37.278,39.928000,1655.640000,7,9,2899,61
1760329950.863985,44,37.054,39.983000,1695.623000,8,9,2899,61
1760329951.863981,45,36.883,40.011000,1735.634000,7,9,2899,61
1760329952.863980,46,36.861,40.156000,1775.790000,7,9,2899,61
1760329953.863982,47,36.816,40.251000,1816.041000,7,9,2899,61
1760329954.864000,48,36.633,40.471000,1856.512000,7,9,2899,61
1760329955.864010,49,36.566,40.594000,1897.106000,7,9,2899,60
1760329956.863983,50,36.685,40.807000,1937.913000,8,9,2899,60
1760329957.863979,51,36.576,40.717000,1978.630000,6,8,2899,60
1760329958.864029,52,36.542,40.724000,2019.354000,7,8,2899,60
1760329959.864028,53,36.562,41.303000,2060.657000,8,9,2899,60
1760329960.864029,54,36.550,41.404000,2102.061000,7,9,2899,60
1760329961.863981,55,36.541,41.514000,2143.575000,8,9,2899,60
1760329962.864000,56,36.386,41.546000,2185.121000,7,8,2899,60
1760329963.864035,57,36.620,42.027000,2227.148000,7,9,2899,60
1760329964.864028,58,36.738,42.308000,2269.456000,8,9,2899,60
1760329965.864025,59,36.738,42.229000,2311.685000,7,9,2899,60
1760329966.864024,60,36.596,42.606000,2354.291000,7,9,2899,59
1760329967.863992,61,36.581,42.655000,2396.946000,7,8,2899,59
1760329968.864030,62,36.546,42.912000,2439.858000,7,9,2899,59
1760329969.863991,63,36.442,43.067000,2482.925000,7,9,2899,59
1760329970.864028,64,36.364,43.112000,2526.037000,7,9,2899,59
1760329971.864029,65,36.328,43.276000,2569.313000,8,9,2899,59
1760329972.864030,66,36.364,43.162000,2612.475000,8,9,2899,59
1760329973.863982,67,36.292,43.449000,2655.924000,8,9,2899,59
1760329974.863983,68,36.282,43.428000,2699.352000,8,9,2899,59
1760329975.864040,69,36.264,43.525000,2742.877000,7,9,2899,59
1760329976.864030,70,36.223,43.950000,2786.827000,7,9,2899,59
1760329977.863981,71,36.238,39.109000,2825.936000,7,9,2899,59
1760329978.864029,72,36.200,39.334000,2865.270000,7,9,2899,59
1760329979.864037,73,36.083,39.150000,2904.420000,7,9,2899,58
1760329980.863978,74,36.040,39.177000,2943.597000,6,8,2899,59
1760329981.863999,75,36.037,39.337000,2982.934000,8,9,2899,58
1760329982.863981,76,35.994,39.952000,3022.886000,7,9,2899,58
1760329983.863977,77,35.769,38.644000,3061.530000,6,9,3009,58
1760329984.863980,78,35.504,39.192000,3100.722000,15,11,2399,58
1760329985.864007,79,35.969,38.872000,3139.594000,9,9,2509,58
1760329986.864022,80,35.592,39.165000,3178.759000,10,10,2399,58
1760329987.864009,81,35.394,38.908000,3217.667000,7,9,2509,58
1760329988.863991,82,36.145,41.886000,3259.553000,7,8,2315,58
1760329989.864033,83,35.664,38.610000,3298.163000,6,8,1899,58
1760329990.863979,84,35.629,39.355000,3337.518000,8,9,2288,58
1760329991.863990,85,35.652,40.412000,3377.930000,8,9,2899,58
1760329992.863991,86,35.250,38.935000,3416.865000,8,9,2899,58
1760329993.863994,87,35.492,38.929000,3455.794000,8,9,2899,58
1760329994.863991,88,35.296,38.584000,3494.378000,7,9,2899,58
1760329995.864000,89,35.582,38.816000,3533.194000,7,9,2899,58
1760329996.863981,90,35.630,39.298000,3572.492000,7,9,2899,58
1760329997.864029,91,35.615,39.417000,3611.909000,8,9,2899,58
1760329998.864029,92,35.237,39.140000,3651.049000,7,9,2899,58
1760329999.864025,93,35.055,39.274000,3690.323000,7,9,2899,58
1760330000.864028,94,35.313,39.402000,3729.725000,7,9,2899,58
1760330001.864037,95,35.314,39.735000,3769.460000,7,9,2899,58
1760330002.864024,96,35.389,40.068000,3809.528000,7,9,2899,57
1760330003.863991,97,35.488,40.310000,3849.838000,7,9,2899,57
1760330004.864028,98,35.440,40.505000,3890.343000,7,9,2899,57
1760330005.864029,99,35.037,39.718000,3930.061000,7,9,2899,57
1760330006.864024,100,35.073,40.291000,3970.352000,7,9,2899,57
1760330007.864028,101,35.123,40.619000,4010.971000,8,9,2899,57
1760330008.864029,102,34.941,40.446000,4051.417000,7,9,2899,57
1760330009.864024,103,34.310,40.185000,4091.602000,5,7,2899,57
1760330010.864000,104,34.127,40.293000,4131.895000,7,9,2899,57
1760330011.863983,105,34.318,40.414000,4172.309000,7,9,2899,57
1760330012.863981,106,34.149,40.484000,4212.793000,6,8,2899,57
1760330013.864030,107,33.903,40.711000,4253.504000,7,9,3009,57
1760330014.864032,108,34.333,41.496000,4295.000000,7,8,2399,57
1760330015.863980,109,34.506,41.417000,4336.417000,7,9,2399,57
1760330016.863986,110,35.521,42.995000,4379.412000,8,9,2899,57
1760330017.864074,111,35.641,42.806000,4422.218000,7,9,2899,57
1760330018.864035,112,35.314,42.700000,4464.918000,8,9,2899,57
1760330019.864033,113,35.112,42.858000,4507.776000,7,9,2899,57
1760330020.864025,114,35.523,43.373000,4551.149000,7,9,2899,57
1760330021.863984,115,35.527,43.531000,4594.680000,7,9,2899,57
1760330022.863994,116,35.284,43.445000,4638.125000,6,8,2899,57
1760330023.864029,117,35.209,43.625000,4681.750000,7,8,2899,57
1760330024.864033,118,35.425,44.342000,4726.092000,7,9,2899,57
1760330025.864031,119,35.815,44.285000,4770.377000,8,9,2899,57
1760330026.864030,120,35.704,44.464000,4814.841000,6,8,2899,57
1760330027.863983,121,35.566,44.914000,4859.755000,7,9,2899,57
1760330028.864026,122,35.499,44.818000,4904.573000,7,9,2899,57
1760330029.863999,123,35.472,45.029000,4949.602000,7,9,2899,56
1760330030.864029,124,35.682,45.436000,4995.038000,8,9,2899,56
1760330031.864029,125,35.858,45.508000,5040.546000,7,9,2899,56
1760330032.864030,126,35.630,45.459000,5086.005000,8,9,2899,56
1760330033.863989,127,35.265,45.375000,5131.380000,6,9,2899,56
1760330034.864007,128,35.315,45.653000,5177.033000,7,8,2899,57
1760330035.863983,129,35.257,45.752000,5222.785000,7,9,2899,56
1760330036.864030,130,35.317,45.975000,5268.760000,8,9,2899,56
1760330037.864028,131,35.444,46.398000,5315.158000,8,9,2899,56
1760330038.864028,132,35.154,37.701000,5352.859000,7,9,2899,56
1760330039.864000,133,34.628,37.527000,5390.386000,7,9,2899,56
1760330040.864025,134,35.109,37.983000,5428.369000,7,9,2899,56
1760330041.864000,135,35.196,37.771000,5466.140000,7,9,2899,56
1760330042.864026,136,34.715,37.664000,5503.804000,5,7,2899,56
1760330043.863981,137,35.184,37.918000,5541.722000,6,8,2899,56
1760330044.863980,138,35.243,38.186000,5579.908000,7,9,2899,56
1760330045.864028,139,35.260,38.038000,5617.946000,7,9,2899,56
1760330046.864029,140,35.567,38.159000,5656.105000,7,9,2899,56
1760330047.864030,141,35.317,37.983000,5694.088000,8,9,2899,56
1760330048.863995,142,35.013,37.578000,5731.666000,6,9,2899,56
1760330049.864025,143,35.161,38.160000,5769.826000,7,9,2899,56
1760330050.864028,144,35.143,38.059000,5807.885000,8,9,2899,56
1760330051.864028,145,35.248,37.760000,5845.645000,7,8,2899,56
1760330052.864028,146,35.289,37.966000,5883.611000,7,9,2899,56
1760330053.864028,147,35.231,38.057000,5921.668000,6,8,2899,56
1760330054.864028,148,34.971,38.331000,5959.999000,7,9,2899,56
1760330055.864029,149,35.205,38.274000,5998.273000,8,9,2899,56
1760330056.864033,150,35.234,38.674000,6036.947000,6,8,2899,56
