ts,cpu_percent,rss_mb,power_w,energy_j_total
1760330841.976832,59.00,265.14,0.000,0.000000
1760330842.976853,32.00,266.02,1.477,1.476974
1760330843.9768493,11.00,259.48,0.718,2.195001
1760330844.9768064,44.00,260.86,0.836,3.031017
1760330845.9768329,18.00,261.73,1.180,4.211544
1760330846.9768507,0.00,261.73,0.147,4.358310
1760330847.9768617,0.00,261.73,0.068,4.426742
1760330848.9768205,0.00,261.73,0.065,4.491635
1760330849.976849,0.00,261.73,0.057,4.548364
1760330850.9768014,1.00,261.73,0.054,4.602515
1760330851.976822,0.00,261.73,0.104,4.706086
1760330852.9768183,0.00,261.73,0.064,4.770581
1760330853.9768517,0.00,261.73,0.039,4.809657
1760330854.9768066,0.00,261.73,0.059,4.868446
1760330855.976818,0.00,261.73,0.058,4.926808
1760330856.9768524,1.00,261.73,0.056,4.982759
1760330857.976855,1.00,261.73,0.046,5.028686
1760330858.9768517,0.00,261.73,0.049,5.077267
1760330859.9768033,0.00,261.73,0.093,5.170143
1760330860.976814,0.00,261.73,0.090,5.259875
1760330861.9768252,0.00,261.73,0.143,5.403239
1760330862.9768076,0.00,261.73,0.097,5.500127
1760330863.976805,0.00,261.73,0.082,5.581636
1760330864.9768054,0.00,261.73,0.042,5.623687
1760330865.976805,0.00,261.73,0.061,5.685085
1760330866.9768028,1.00,261.73,0.056,5.741524
1760330867.976803,0.00,261.73,0.107,5.848468
1760330868.9768076,0.00,261.73,0.121,5.969097
1760330869.9768019,0.00,261.73,0.103,6.072043
1760330870.976811,0.00,261.73,0.048,6.120304
1760330871.9768033,0.00,261.73,0.138,6.258404
1760330872.9768026,0.00,261.73,0.083,6.340904
1760330873.976804,0.00,261.73,0.105,6.446047
1760330874.9768057,1.00,261.73,0.090,6.536130
1760330875.976857,0.00,261.73,0.096,6.632012
1760330876.9768038,0.00,261.73,0.070,6.701924
1760330877.9768052,0.00,261.73,0.089,6.791305
1760330878.9768043,0.00,261.73,0.137,6.928291
1760330879.9768,0.00,261.73,0.114,7.042498
1760330880.9768033,0.00,261.73,0.098,7.140866
1760330881.9768033,1.00,261.73,0.058,7.199243
1760330882.976807,0.00,261.73,0.073,7.272283
1760330883.9768052,0.00,261.73,0.093,7.365082
1760330884.976844,0.00,261.73,0.119,7.484400
1760330885.976856,0.00,261.73,0.080,7.563970
1760330886.976811,0.00,261.73,0.169,7.733395
1760330887.9768493,0.00,261.73,0.050,7.783762
1760330888.9768124,0.00,261.73,0.070,7.853720
1760330889.9768543,0.00,261.73,0.095,7.948609
1760330890.9768174,1.00,261.73,0.072,8.020276
1760330891.9768486,0.00,261.73,0.074,8.094659
1760330892.9768248,0.00,261.73,0.112,8.206622
1760330893.9768522,0.00,261.73,0.082,8.288390
1760330894.976806,0.00,261.73,0.070,8.358164
1760330895.9768524,0.00,261.73,0.050,8.407951
1760330896.9768014,0.00,261.73,0.053,8.460927
1760330897.976812,0.00,261.73,0.054,8.515017
1760330898.9768019,1.00,261.73,0.079,8.594206
1760330899.9768212,0.00,261.73,0.145,8.739508
1760330900.976822,0.00,261.73,0.116,8.855423
1760330901.976771,0.00,261.73,0.118,8.973214
1760330902.976806,0.00,261.73,0.069,9.042516
1760330903.9768543,0.00,261.73,0.092,9.134034
1760330904.9768033,0.00,261.73,0.084,9.217968
1760330905.9768507,0.00,261.73,0.080,9.297752
1760330906.976825,1.00,261.73,0.099,9.396471
1760330907.9768028,0.00,261.73,0.080,9.476942
1760330908.9768097,0.00,261.73,0.051,9.528163
1760330909.9768217,0.00,261.73,0.129,9.657276
1760330910.9768112,0.00,261.73,0.102,9.759535
1760330911.9768257,0.00,261.73,0.128,9.888008
1760330912.9768128,0.00,261.73,0.114,10.001710
1760330913.976875,0.00,261.73,0.158,10.159860
1760330914.9768126,0.00,261.73,0.067,10.226796
1760330915.9767992,1.00,261.73,0.075,10.301606
1760330916.9767995,1.00,261.73,0.106,10.407909
1760330917.9768038,0.00,261.73,0.084,10.492392
1760330918.976799,0.00,261.73,0.146,10.638732
1760330919.9768019,0.00,261.73,0.141,10.779258
1760330920.9768026,0.00,261.73,0.134,10.913635
1760330921.9767995,0.00,261.73,0.086,10.999858
1760330922.976866,1.00,261.73,0.053,11.053002
1760330923.9768133,0.00,261.73,0.054,11.106802
1760330924.976885,0.00,261.73,0.355,11.461443
1760330925.9768317,2.00,267.36,0.231,11.692678
1760330926.9768045,19.00,267.86,0.208,11.901087
1760330927.9768002,30.00,268.48,1.172,13.073070
1760330928.976805,0.00,268.48,0.109,13.181874
1760330929.9768043,0.00,268.48,0.078,13.260087
1760330930.9768023,0.00,268.48,0.032,13.291656
1760330931.9768023,0.00,268.48,0.043,13.334592
1760330932.976814,0.00,268.48,0.075,13.409783
