ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760399567.879073,0,19.060,0.000000,0.000000,7,10,1211,55
1760399568.879066,1,32.863,35.887000,35.887000,6,8,1617,56
1760399569.879018,2,33.730,44.458000,80.345000,7,8,2023,56
1760399570.879047,3,33.916,44.475000,124.820000,7,8,2429,56
1760399571.879046,4,33.955,44.946000,169.766000,7,8,2429,56
1760399572.879064,5,33.670,44.540000,214.306000,7,8,2429,57
1760399573.879030,6,33.723,36.612000,250.918000,7,9,2429,57
1760399574.879065,7,33.594,36.348000,287.266000,7,8,2429,57
1760399575.879039,8,33.532,36.257000,323.523000,7,8,2429,57
1760399576.879037,9,33.521,36.275000,359.798000,7,9,2429,57
1760399577.879035,10,33.471,36.173000,395.971000,6,8,2429,57
1760399578.879061,11,33.479,36.203000,432.174000,7,8,2429,58
1760399579.879037,12,33.632,36.433000,468.607000,6,8,2429,58
1760399580.879013,13,33.826,36.468000,505.075000,7,9,2429,58
1760399581.879061,14,33.957,36.845000,541.920000,8,9,2429,58
1760399582.879018,15,33.991,36.763000,578.683000,7,8,2429,58
1760399583.879040,16,34.110,37.148000,615.831000,6,8,2429,58
1760399584.879064,17,34.193,36.917000,652.748000,6,8,2429,58
1760399585.879062,18,34.202,36.919000,689.667000,7,8,2429,59
1760399586.879063,19,34.274,37.229000,726.896000,7,8,2429,59
1760399587.879114,20,34.359,37.069000,763.965000,7,8,2429,59
1760399588.879060,21,34.209,37.139000,801.104000,7,9,2429,59
1760399589.879036,22,34.071,37.026000,838.130000,8,9,2429,59
1760399590.879035,23,34.123,37.393000,875.523000,7,8,2429,59
1760399591.879066,24,33.926,37.088000,912.611000,5,8,2429,59
1760399592.879064,25,33.948,37.578000,950.189000,6,8,2429,60
1760399593.879062,26,33.786,37.544000,987.733000,6,8,2429,60
1760399594.879037,27,33.853,37.556000,1025.289000,6,8,2429,60
1760399595.879064,28,34.097,38.004000,1063.293000,7,9,2429,60
1760399596.879064,29,33.989,38.038000,1101.331000,6,8,2429,60
1760399597.879061,30,34.143,38.375000,1139.706000,6,8,2429,60
1760399598.879061,31,34.109,38.445000,1178.151000,6,8,2429,60
1760399599.879062,32,34.110,38.579000,1216.730000,7,8,2429,61
1760399600.879065,33,34.282,39.167000,1255.897000,7,9,2429,61
1760399601.879035,34,34.446,39.323000,1295.220000,7,9,2429,61
1760399602.879062,35,35.125,40.115000,1335.335000,7,9,2429,61
1760399603.879035,36,35.055,40.192000,1375.527000,6,8,2429,61
1760399604.879062,37,34.843,40.299000,1415.826000,7,8,2429,61
1760399605.879062,38,35.080,40.654000,1456.480000,6,8,2429,62
1760399606.879035,39,35.377,41.109000,1497.589000,7,8,2429,62
1760399607.879014,40,35.155,40.961000,1538.550000,6,8,2429,62
1760399608.879069,41,35.157,41.196000,1579.746000,6,8,2429,62
1760399609.879012,42,35.082,41.317000,1621.063000,6,8,2429,62
1760399610.879061,43,34.990,41.400000,1662.463000,7,8,2429,62
1760399611.879059,44,35.351,41.969000,1704.432000,7,9,2429,62
1760399612.879030,45,35.310,42.135000,1746.567000,6,8,2429,62
1760399613.879062,46,35.530,42.314000,1788.881000,6,8,2429,62
1760399614.879064,47,35.370,42.525000,1831.406000,7,9,2429,62
1760399615.879012,48,35.365,42.769000,1874.175000,7,8,2429,61
1760399616.879060,49,35.199,42.784000,1916.959000,7,8,2429,61
1760399617.879063,50,35.166,42.875000,1959.834000,7,9,2429,61
1760399618.879015,51,35.211,43.110000,2002.944000,7,8,2429,61
1760399619.879065,52,34.978,43.203000,2046.147000,7,9,2429,61
1760399620.879034,53,35.030,43.345000,2089.492000,8,9,2429,61
1760399621.879016,54,34.835,46.469000,2135.961000,7,9,2429,61
1760399622.879063,55,34.570,34.768000,2170.729000,6,8,2429,60
1760399623.879065,56,34.759,34.973000,2205.702000,6,8,2429,61
1760399624.879063,57,34.601,34.795000,2240.497000,6,8,2429,60
1760399625.879063,58,34.679,35.137000,2275.634000,6,8,2429,60
1760399626.879029,59,34.489,35.046000,2310.680000,7,8,2429,60
1760399627.879086,60,34.723,35.445000,2346.125000,7,8,2429,60
1760399628.879039,61,34.576,35.556000,2381.681000,6,8,2429,60
1760399629.879061,62,34.497,35.699000,2417.380000,6,8,2429,60
1760399630.879061,63,34.502,35.882000,2453.262000,6,8,2429,60
1760399631.879030,64,34.480,36.039000,2489.301000,6,8,2429,60
1760399632.879036,65,34.463,36.199000,2525.500000,6,8,2429,59
1760399633.879063,66,34.520,36.695000,2562.195000,7,8,2429,59
1760399634.879027,67,34.769,36.834000,2599.029000,7,8,2429,59
1760399635.879068,68,34.799,37.170000,2636.199000,7,9,2429,59
1760399636.879064,69,34.830,42.120000,2678.319000,6,8,2429,59
1760399637.879027,70,34.677,42.780000,2721.099000,7,8,2429,59
1760399638.879064,71,34.746,42.540000,2763.639000,7,8,2429,59
1760399639.879065,72,34.841,42.548000,2806.187000,7,9,2429,59
1760399640.879018,73,34.702,38.950000,2845.137000,7,8,2429,59
1760399641.879063,74,34.495,42.110000,2887.247000,7,9,2429,59
