ts,cpu_percent,rss_mb,power_w,energy_j_total
1760395587.5064468,48.00,244.34,0.000,0.000000
1760395588.5064232,60.00,245.97,2.316,2.316408
1760395589.5064561,11.00,246.72,1.432,3.748539
1760395590.5064638,10.00,247.22,1.223,4.971453
1760395591.5064437,19.00,248.22,1.439,6.410435
1760395592.5064583,0.00,248.22,0.247,6.657019
1760395593.5064578,1.00,248.22,0.162,6.818937
1760395594.5064356,0.00,248.22,0.160,6.979161
1760395595.5064628,0.00,248.22,0.170,7.149196
1760395596.5064616,0.00,248.22,0.168,7.317050
1760395597.5064619,0.00,248.22,0.173,7.490030
1760395598.5064342,0.00,248.22,0.160,7.650361
1760395599.5064654,1.00,248.22,0.166,7.816429
1760395600.5064616,0.00,248.22,0.169,7.985701
1760395601.50646,1.00,248.22,0.236,8.222108
1760395602.5064747,0.00,248.22,0.171,8.392769
1760395603.506461,0.00,248.22,0.185,8.578032
1760395604.5064611,1.00,248.22,0.178,8.756367
1760395605.5064602,0.00,248.22,0.173,8.929866
1760395606.5064616,0.00,248.22,0.171,9.100603
1760395607.5064578,0.00,248.22,0.166,9.266229
1760395608.5064652,0.00,248.22,0.167,9.432983
1760395609.5064642,0.00,248.22,0.168,9.600837
1760395610.5064576,1.00,248.22,0.171,9.771833
1760395611.5064592,0.00,248.22,0.181,9.952915
1760395612.5064158,0.00,248.22,0.172,10.125269
1760395613.506462,0.00,248.22,0.168,10.293763
1760395614.5064616,0.00,248.22,0.170,10.463585
1760395615.5064666,0.00,248.22,0.178,10.641997
1760395616.506464,1.00,248.22,0.180,10.821705
1760395617.5064335,0.00,248.22,0.174,10.995250
1760395618.5064597,0.00,248.22,0.168,11.163057
1760395619.5064573,0.00,248.22,0.180,11.342675
1760395620.50646,0.00,248.22,0.181,11.524077
1760395621.506465,0.00,248.22,0.179,11.702687
1760395622.5064385,0.00,248.22,0.169,11.871425
1760395623.506465,1.00,248.22,0.172,12.043368
1760395624.5064147,0.00,248.22,0.233,12.276602
1760395625.5064228,0.00,248.22,0.188,12.464992
1760395626.5064602,0.00,248.22,0.173,12.637728
1760395627.5064147,1.00,248.22,0.224,12.862173
1760395628.5064633,0.00,248.22,0.182,13.044125
1760395629.5064318,0.00,248.22,0.168,13.212054
1760395630.506467,0.00,248.22,0.171,13.382562
1760395631.5064619,1.00,248.22,0.181,13.563599
1760395632.5064244,0.00,248.22,0.173,13.736151
1760395633.506463,0.00,248.22,0.180,13.916394
1760395634.5064168,0.00,248.22,0.200,14.116335
1760395635.5064611,0.00,248.22,0.187,14.303657
1760395636.5064614,1.00,248.22,0.170,14.474105
1760395637.5064635,0.00,248.22,0.190,14.664082
1760395638.5064154,0.00,248.22,0.171,14.835155
1760395639.5064614,0.00,248.22,0.169,15.003969
1760395640.5064387,0.00,248.22,0.170,15.173546
1760395641.5064235,1.00,248.22,0.173,15.346969
1760395642.5064628,0.00,248.22,0.173,15.520407
1760395643.506463,0.00,248.22,0.166,15.686520
1760395644.506425,0.00,248.22,0.169,15.855381
1760395645.5064576,0.00,248.22,0.161,16.016536
1760395646.506462,0.00,248.22,0.168,16.184679
1760395647.506458,1.00,248.22,0.170,16.354851
1760395648.5064611,0.00,248.22,0.168,16.522537
1760395649.506416,0.00,248.22,0.168,16.690634
1760395650.5064614,0.00,248.22,0.179,16.869488
1760395651.5064614,0.00,248.22,0.278,17.147886
1760395652.5064628,0.00,248.22,0.170,17.317585
1760395653.506462,0.00,248.22,0.181,17.498423
1760395654.5064127,2.00,248.22,0.172,17.670579
1760395655.5064673,0.00,248.22,0.167,17.837227
1760395656.506461,0.00,248.22,0.170,18.006881
1760395657.506461,0.00,248.22,0.161,18.168249
