ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760403547.393573,0,20.909,0.000000,0.000000,6,8,1017,55
1760403548.393575,1,34.139,37.009000,37.009000,9,9,1617,56
1760403549.393567,2,33.638,44.049000,81.058000,8,9,2023,56
1760403550.393569,3,33.814,44.314000,125.372000,7,9,2385,56
1760403551.393613,4,33.704,44.555000,169.927000,6,8,2429,56
1760403552.393616,5,33.933,45.202000,215.129000,7,9,2429,57
1760403553.393584,6,34.166,36.911000,252.040000,7,9,2429,57
1760403554.393617,7,34.050,36.973000,289.013000,6,8,2429,57
1760403555.393613,8,33.815,36.749000,325.762000,7,9,2429,57
1760403556.393570,9,33.650,36.692000,362.454000,7,9,2429,57
1760403557.393612,10,33.462,36.223000,398.677000,7,9,2429,57
1760403558.393629,11,33.451,36.357000,435.034000,6,8,2429,57
1760403559.393590,12,33.515,36.311000,471.345000,7,8,2429,58
1760403560.393574,13,33.681,36.584000,507.929000,7,9,2429,58
1760403561.393571,14,33.774,36.599000,544.528000,7,8,2429,58
1760403562.393617,15,33.911,36.817000,581.345000,7,9,2429,58
1760403563.393566,16,34.113,37.025000,618.370000,7,9,2429,58
1760403564.393586,17,34.188,36.976000,655.346000,7,8,2429,58
1760403565.393618,18,34.246,36.974000,692.320000,7,8,2429,59
1760403566.393569,19,34.277,37.126000,729.446000,7,8,2429,59
1760403567.393616,20,34.375,37.239000,766.685000,7,8,2429,59
1760403568.393579,21,34.424,37.179000,803.864000,6,8,2429,59
1760403569.393567,22,34.472,37.649000,841.513000,7,8,2429,59
1760403570.393616,23,34.397,37.553000,879.066000,7,9,2429,59
1760403571.393620,24,34.125,37.536000,916.602000,7,9,2429,59
1760403572.393615,25,34.240,37.976000,954.578000,7,8,2429,60
1760403573.393566,26,33.941,37.749000,992.327000,6,8,2429,60
1760403574.393637,27,33.884,37.600000,1029.927000,7,8,2429,60
1760403575.393617,28,33.970,37.951000,1067.878000,7,9,2429,60
1760403576.393617,29,34.005,37.995000,1105.873000,7,8,2429,60
1760403577.393614,30,34.085,38.407000,1144.280000,7,9,2429,60
1760403578.393617,31,34.145,38.519000,1182.799000,7,8,2429,60
1760403579.393616,32,34.202,38.872000,1221.671000,7,8,2429,60
1760403580.393584,33,34.295,39.145000,1260.816000,7,9,2429,61
