ts,cpu_percent,rss_mb,power_w,energy_j_total
1760404248.1760273,36.00,199.70,0.000,0.000000
1760404249.1759984,59.00,199.82,1.850,1.850414
1760404250.1760154,13.00,199.95,1.719,3.569762
1760404251.1759975,52.00,200.07,1.407,4.976611
1760404252.1759927,55.00,200.20,1.820,6.796142
1760404253.1760435,0.00,200.20,1.059,7.854712
1760404254.1760418,0.00,200.20,0.161,8.015669
1760404255.1760426,1.00,200.20,0.168,8.184056
1760404256.1760473,0.00,200.20,0.164,8.347561
1760404257.176046,0.00,200.20,0.175,8.522356
1760404258.1760457,0.00,200.20,0.175,8.697503
1760404259.1760461,0.00,200.20,0.172,8.869933
1760404260.1760457,0.00,200.20,0.266,9.136262
1760404261.17602,0.00,200.20,0.176,9.312492
1760404262.1759958,1.00,200.20,0.161,9.473769
1760404263.1760051,0.00,200.20,0.154,9.627951
1760404264.1760492,0.00,200.20,0.162,9.789625
1760404265.176018,0.00,200.20,0.155,9.944249
1760404266.1760216,0.00,200.20,0.151,10.094998
1760404267.1760457,1.00,200.20,0.154,10.249043
1760404268.1760428,1.00,200.20,0.162,10.411251
1760404269.1759994,0.00,200.20,0.167,10.577761
1760404270.1760442,0.00,200.20,0.163,10.740869
1760404271.1760006,0.00,200.20,0.176,10.917343
1760404272.1760411,0.00,200.20,0.170,11.087440
1760404273.176045,0.00,200.20,0.178,11.265424
1760404274.1760466,1.00,200.20,0.175,11.440403
1760404275.176043,0.00,200.20,0.175,11.615000
1760404276.1760466,0.00,200.20,0.180,11.795457
1760404277.1759958,0.00,200.20,0.177,11.972495
1760404278.1760464,0.00,200.20,0.178,12.150358
1760404279.1759996,0.00,200.20,0.191,12.341052
1760404280.1760519,1.00,200.20,0.180,12.521066
1760404281.1760454,0.00,200.20,0.175,12.696030
1760404282.1760283,0.00,200.20,0.178,12.873602
1760404283.176046,0.00,200.20,0.171,13.044827
1760404284.1760488,0.00,200.20,0.171,13.215763
1760404285.1760192,1.00,200.20,0.173,13.388880
1760404286.176048,0.00,200.20,0.287,13.676371
1760404287.176046,0.00,200.20,0.188,13.864289
1760404288.176042,0.00,200.20,0.179,14.043036
1760404289.1760457,0.00,200.20,0.168,14.210661
1760404290.1760418,0.00,200.20,0.164,14.374349
1760404291.176044,0.00,200.20,0.174,14.548229
