ts,cpu_percent,rss_mb,power_w,energy_j_total
1760408828.7977414,70.00,151.87,0.000,0.000000
1760408829.7977695,115.00,152.37,0.501,0.501424
1760408830.7977612,168.00,152.50,1.510,2.011691
1760408831.7977352,163.00,152.62,1.614,3.625270
1760408832.797776,165.00,152.75,1.624,5.249561
1760408833.7977438,18.00,152.75,1.514,6.763109
1760408834.7977393,0.00,152.75,0.186,6.949455
1760408835.7977798,0.00,152.75,0.202,7.151013
1760408836.797776,1.00,152.75,0.179,7.330386
1760408837.79779,0.00,152.75,0.173,7.503869
1760408838.7977824,0.00,152.75,0.181,7.684646
1760408839.7977693,0.00,152.75,0.175,7.859396
1760408840.7977824,0.00,152.75,0.175,8.034512
1760408841.7977333,0.00,152.75,0.177,8.211474
1760408842.797732,0.00,152.75,0.165,8.376017
1760408843.7977319,0.00,152.75,0.168,8.543595
1760408844.7977753,0.00,152.75,0.176,8.719367
1760408845.7977362,1.00,152.75,0.183,8.902112
1760408846.7977753,0.00,152.75,0.169,9.071079
1760408847.7977424,0.00,152.75,0.175,9.245982
1760408848.7977831,0.00,152.75,0.177,9.423356
1760408849.7977355,1.00,152.75,0.172,9.595802
1760408850.7977362,0.00,152.75,0.180,9.775785
1760408851.7977777,0.00,152.75,0.163,9.938436
1760408852.797745,1.00,152.75,0.167,10.105038
1760408853.7977774,0.00,152.75,0.178,10.282885
1760408854.7977805,0.00,152.75,0.165,10.447687
1760408855.797752,0.00,152.75,0.168,10.615509
1760408856.7977803,0.00,152.75,0.169,10.784187
1760408857.7977517,0.00,152.75,0.176,10.960539
1760408858.7977343,0.00,152.75,0.184,11.144871
1760408859.7977319,0.00,152.75,0.203,11.347512
1760408860.7977805,1.00,152.75,0.178,11.525069
1760408861.7977798,0.00,152.75,0.178,11.702917
1760408862.7977362,0.00,152.75,0.179,11.882030
1760408863.7977774,0.00,152.75,0.185,12.066637
1760408864.7977333,0.00,152.75,0.184,12.250694
1760408865.7977755,0.00,152.75,0.182,12.432203
1760408866.7977808,0.00,152.75,0.170,12.602528
1760408867.7977808,0.00,152.75,0.165,12.767360
1760408868.7977798,0.00,152.75,0.163,12.930652
1760408869.7977808,1.00,152.75,0.192,13.122872
1760408870.7977884,0.00,152.75,0.172,13.295257
1760408871.7977805,0.00,152.75,0.176,13.471136
1760408872.7977424,0.00,152.75,0.175,13.646572
1760408873.7977822,0.00,152.75,0.175,13.821520
1760408874.7977812,0.00,152.75,0.172,13.993722
1760408875.7977436,0.00,152.75,0.179,14.172882
1760408876.7977343,0.00,152.75,0.177,14.350271
1760408877.7977521,1.00,152.75,0.180,14.530438
1760408878.7977338,0.00,152.75,0.179,14.708987
1760408879.7977328,0.00,152.75,0.181,14.890160
1760408880.7977848,1.00,152.75,0.180,15.069823
1760408881.7977364,0.00,152.75,0.173,15.242803
1760408882.7977383,0.00,152.75,0.165,15.408047
1760408883.7977338,1.00,152.75,0.169,15.577014
1760408884.7977524,0.00,152.75,0.190,15.767236
1760408885.7977295,0.00,152.75,0.182,15.949187
1760408886.7977755,0.00,152.75,0.263,16.211991
1760408887.7977328,0.00,152.75,0.175,16.386802
1760408888.7977812,0.00,152.75,0.172,16.558485
1760408889.7977915,0.00,152.75,0.169,16.727605
1760408890.797786,1.00,152.75,0.173,16.900234
1760408891.7977812,0.00,152.75,0.159,17.059543
1760408892.797778,0.00,152.75,0.170,17.229837
1760408893.7977822,0.00,152.75,0.162,17.391877
1760408894.7977815,0.00,152.75,0.165,17.556953
1760408895.7977803,0.00,152.75,0.188,17.744535
1760408896.7977865,0.00,152.75,0.168,17.912694
1760408897.797781,0.00,152.75,0.173,18.085399
1760408898.7977505,1.00,152.75,0.160,18.245516
1760408899.7977815,0.00,152.75,0.177,18.422662
1760408900.797782,0.00,152.75,0.173,18.595916
1760408901.7977536,0.00,152.75,0.175,18.771246
1760408902.797751,0.00,152.75,0.175,18.946057
1760408903.7977328,0.00,152.75,0.156,19.101567
1760408904.7977817,0.00,152.75,0.169,19.270473
1760408905.797778,0.00,152.75,0.180,19.450517
1760408906.7977812,1.00,152.75,0.170,19.620567
1760408907.7977424,0.00,152.75,0.185,19.805937
1760408908.7977762,21.00,153.62,1.067,20.873265
1760408909.7977602,14.00,153.62,0.541,21.414405
1760408910.7977636,100.00,153.62,1.808,23.222874
1760408911.7977805,58.00,153.62,1.719,24.942070
1760408912.7977338,0.00,153.62,0.183,25.125517
1760408913.7977805,0.00,153.62,0.172,25.297657
1760408914.7977567,0.00,153.62,0.174,25.471492
1760408915.7977803,0.00,153.62,0.169,25.640840
1760408916.797735,1.00,153.62,0.163,25.803353
1760408917.79778,0.00,153.62,0.161,25.964020
1760408918.7977357,0.00,153.62,0.165,26.128669
1760408919.797778,0.00,153.75,0.648,26.777180
1760408920.797784,0.00,153.75,0.156,26.933574
1760408921.7977657,53.00,153.75,0.994,27.927465
1760408922.7977846,32.00,153.75,1.562,29.489549
1760408923.7977815,0.00,153.75,0.163,29.652428
1760408924.797781,0.00,153.75,0.167,29.819381
1760408925.797782,0.00,153.75,0.164,29.983465
1760408926.797778,0.00,153.75,0.166,30.149060
1760408927.7977815,0.00,153.75,0.163,30.311604
1760408928.7977402,0.00,153.75,0.172,30.483577
1760408929.7977374,0.00,153.75,0.164,30.647143
1760408930.7977808,0.00,153.75,0.166,30.812707
1760408931.7977521,0.00,153.75,0.177,30.989349
1760408932.797781,0.00,153.75,0.171,31.160422
1760408933.7977808,0.00,153.75,0.170,31.330915
1760408934.7977543,1.00,153.75,0.167,31.497730
1760408935.797752,0.00,153.75,0.167,31.664332
1760408936.7977798,0.00,153.75,0.235,31.899763
1760408937.7977822,1.00,153.75,0.169,32.069005
1760408938.7977407,0.00,153.75,0.165,32.233715
1760408939.7977865,0.00,153.75,0.156,32.389866
1760408940.7977347,0.00,153.75,0.174,32.564219
1760408941.7977302,0.00,153.75,0.177,32.741044
1760408942.7977343,0.00,153.75,0.189,32.930472
1760408943.79778,1.00,153.75,0.166,33.096509
1760408944.7977312,0.00,153.75,0.164,33.260991
1760408945.7977426,0.00,153.75,0.180,33.441157
1760408946.7977817,0.00,153.75,0.178,33.619340
1760408947.7977526,0.00,153.75,0.177,33.796058
1760408948.7977786,0.00,153.75,0.184,33.979749
1760408949.7977326,1.00,153.75,0.270,34.249251
1760408950.7977822,0.00,153.87,0.546,34.795305
1760408951.7977626,32.00,153.87,0.866,35.661394
1760408952.797731,100.00,153.87,1.735,37.395985
1760408953.797761,95.00,153.87,1.731,39.127127
1760408954.7977622,124.00,153.87,1.703,40.830484
1760408955.797726,100.00,153.87,1.732,42.561932
1760408956.79776,100.00,153.87,1.759,44.321286
1760408957.7977607,101.00,153.87,1.782,46.103268
1760408958.797744,56.00,154.00,1.931,48.034030
1760408959.7977371,0.00,154.00,0.256,48.290334
1760408960.7977808,0.00,154.00,0.175,48.465816
1760408961.797778,0.00,154.00,0.171,48.636370
1760408962.7977352,1.00,154.00,0.174,48.809869
1760408963.7977772,0.00,154.00,0.167,48.977326
1760408964.7977788,0.00,154.00,0.168,49.145591
1760408965.7977808,0.00,154.00,0.170,49.315992
1760408966.7977853,0.00,154.00,0.175,49.490620
1760408967.7977886,0.00,154.00,0.165,49.655849
1760408968.7977355,0.00,154.00,0.165,49.821093
1760408969.7977798,0.00,154.00,0.179,50.000436
1760408970.7977812,0.00,154.00,0.181,50.181411
1760408971.7977815,1.00,154.00,0.177,50.358617
1760408972.7977817,0.00,154.00,0.171,50.529644
1760408973.7977846,0.00,154.00,0.176,50.705706
1760408974.7977388,0.00,154.00,0.159,50.864221
1760408975.7977328,0.00,154.00,0.180,51.044113
1760408976.7977343,0.00,154.00,0.172,51.215751
1760408977.7977343,0.00,154.00,0.167,51.383131
1760408978.79778,0.00,154.00,0.168,51.550908
1760408979.797737,1.00,154.00,0.166,51.716915
1760408980.7977335,0.00,154.00,0.173,51.890124
1760408981.7977438,0.00,154.00,0.159,52.048975
1760408982.7977536,0.00,154.00,0.159,52.208039
1760408983.7977512,0.00,154.00,0.172,52.379585
1760408984.7977314,0.00,154.00,0.164,52.543334
1760408985.7977464,0.00,154.00,0.231,52.774111
1760408986.797731,0.00,154.00,0.165,52.939401
1760408987.7977595,0.00,154.00,0.181,53.120620
1760408988.7977817,0.00,154.00,0.177,53.297766
1760408989.7977822,1.00,154.00,0.177,53.475186
1760408990.7977347,0.00,154.00,0.160,53.635242
1760408991.7977695,0.00,154.00,0.166,53.801539
