ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760409311.148143,0,11.462,0.000000,0.000000,0,0,396,53
1760409312.148133,1,11.680,15.245000,15.245000,2,1,805,53
1760409313.148165,2,24.624,32.116000,47.361000,6,8,805,56
1760409314.148153,3,32.408,35.216000,82.577000,6,8,1011,56
1760409315.148181,4,33.762,36.701000,119.278000,7,9,1617,57
1760409316.148137,5,33.938,37.195000,156.473000,7,9,1840,57
1760409317.148136,6,34.890,37.542000,194.015000,7,8,2023,58
1760409318.148133,7,34.655,37.387000,231.402000,7,8,2023,58
1760409319.148187,8,34.979,37.741000,269.143000,8,9,2415,58
1760409320.148139,9,34.526,37.104000,306.247000,7,8,2429,59
1760409321.148160,10,34.435,37.059000,343.306000,7,9,2429,59
1760409322.148164,11,34.550,37.291000,380.597000,8,9,2429,59
1760409323.148188,12,34.232,36.863000,417.460000,7,8,2429,59
1760409324.148165,13,34.299,37.008000,454.468000,7,8,2429,59
1760409325.148187,14,34.349,37.179000,491.647000,7,9,2429,59
1760409326.148184,15,34.435,37.319000,528.966000,7,9,2429,59
1760409327.148185,16,34.380,37.646000,566.612000,7,8,2429,59
1760409328.148160,17,34.509,37.929000,604.541000,7,8,2429,60
1760409329.148188,18,34.616,38.247000,642.788000,6,8,2429,60
1760409330.148272,19,34.681,38.522000,681.310000,7,8,2429,60
1760409331.148186,20,34.768,38.661000,719.971000,6,8,2429,60
1760409332.148185,21,34.862,38.835000,758.806000,7,8,2429,60
1760409333.148185,22,35.068,39.037000,797.843000,6,8,2429,60
1760409334.148166,23,35.026,39.300000,837.143000,7,8,2429,60
1760409335.148242,24,35.001,39.370000,876.513000,7,8,2429,61
1760409336.148187,25,34.956,39.539000,916.052000,7,8,2429,61
1760409337.148186,26,34.711,39.459000,955.511000,6,8,2429,61
1760409338.148184,27,34.830,39.829000,995.340000,6,8,2429,61
1760409339.148183,28,35.082,40.281000,1035.621000,6,8,2429,61
1760409340.148187,29,35.077,40.372000,1075.993000,7,8,2429,61
1760409341.148162,30,35.022,40.354000,1116.347000,6,8,2429,61
1760409342.148187,31,34.971,40.673000,1157.020000,6,8,2429,62
1760409343.148186,32,35.157,40.968000,1197.988000,7,8,2429,62
1760409344.148184,33,34.884,40.778000,1238.766000,6,8,2429,62
1760409345.148177,34,34.875,41.143000,1279.909000,6,8,2429,61
1760409346.148187,35,35.213,41.543000,1321.452000,6,8,2429,61
1760409347.148134,36,34.996,41.427000,1362.879000,6,8,2429,61
1760409348.148165,37,35.016,41.717000,1404.596000,7,8,2429,61
1760409349.148185,38,35.162,41.932000,1446.528000,7,8,2429,61
1760409350.148192,39,35.146,42.192000,1488.720000,6,8,2429,61
1760409351.148163,40,35.274,42.558000,1531.278000,8,9,2429,61
1760409352.148184,41,35.328,42.511000,1573.789000,6,8,2429,61
1760409353.148167,42,35.053,42.606000,1616.395000,7,8,2429,61
1760409354.148184,43,34.985,42.644000,1659.039000,6,8,2429,61
1760409355.148187,44,34.796,42.648000,1701.687000,6,8,2429,61
1760409356.148187,45,35.003,42.992000,1744.679000,6,8,2429,60
1760409357.148186,46,35.020,43.265000,1787.944000,6,8,2429,60
1760409358.148167,47,34.953,43.238000,1831.182000,7,8,2429,60
1760409359.148135,48,35.131,43.778000,1874.960000,7,9,2429,60
1760409360.148186,49,35.116,43.649000,1918.609000,7,8,2429,60
1760409361.148187,50,34.781,43.759000,1962.368000,7,8,2429,60
1760409362.148196,51,34.880,43.907000,2006.275000,6,8,2429,60
1760409363.148136,52,34.859,44.134000,2050.409000,6,8,2429,60
1760409364.148192,53,34.674,44.073000,2094.482000,6,8,2429,60
1760409365.148187,54,34.759,44.285000,2138.767000,7,9,2429,59
1760409366.148175,55,34.612,44.324000,2183.091000,7,8,2429,59
1760409367.148188,56,34.550,44.479000,2227.570000,7,8,2429,59
1760409368.148192,57,34.758,44.866000,2272.436000,7,8,2429,59
1760409369.148187,58,34.497,44.746000,2317.182000,7,8,2429,59
1760409370.148184,59,34.423,44.997000,2362.179000,7,8,2429,59
1760409371.148187,60,34.430,45.070000,2407.249000,7,8,2429,59
1760409372.148184,61,34.509,45.324000,2452.573000,7,9,2429,59
1760409373.148187,62,34.318,45.277000,2497.850000,6,8,2429,59
1760409374.148199,63,34.436,37.152000,2535.002000,6,8,2429,59
1760409375.148184,64,34.291,37.032000,2572.034000,6,8,2429,58
1760409376.148186,65,34.132,36.898000,2608.932000,6,8,2429,58
1760409377.148185,66,34.140,36.912000,2645.844000,6,8,2429,58
1760409378.148165,67,34.179,36.894000,2682.738000,6,8,2429,58
1760409379.148142,68,34.095,36.845000,2719.583000,6,8,2429,58
1760409380.148184,69,34.146,37.054000,2756.637000,6,8,2429,58
1760409381.148187,70,34.576,37.348000,2793.985000,6,8,2429,58
1760409382.148186,71,34.428,37.032000,2831.017000,7,9,2429,58
1760409383.148191,72,34.471,37.265000,2868.282000,7,8,2429,58
1760409384.148187,73,34.600,37.435000,2905.717000,7,8,2429,58
1760409385.148215,74,34.633,37.251000,2942.968000,7,8,2429,58
1760409386.148168,75,34.437,37.283000,2980.251000,7,8,2429,58
1760409387.148184,76,34.430,37.150000,3017.401000,7,9,2429,58
1760409388.148158,77,34.413,37.195000,3054.596000,7,8,2429,58
1760409389.148184,78,34.354,37.106000,3091.702000,6,8,2429,57
1760409390.148195,79,34.195,40.697000,3132.399000,6,8,2539,57
1760409391.148166,80,34.316,34.840000,3167.239000,6,8,2023,57
1760409392.148167,81,34.272,34.439000,3201.678000,7,9,2023,57
1760409393.148137,82,34.364,35.059000,3236.737000,6,8,2240,58
1760409394.148136,83,34.787,34.893000,3271.630000,7,8,2429,58
1760409395.148139,84,34.263,34.830000,3306.460000,6,8,2429,58
1760409396.148186,85,34.679,35.297000,3341.757000,7,8,2429,57
1760409397.148185,86,34.459,35.038000,3376.795000,6,8,2429,57
1760409398.148165,87,34.501,35.326000,3412.121000,7,8,2429,57
1760409399.148191,88,34.379,35.253000,3447.374000,7,8,2429,57
1760409400.148188,89,34.406,35.523000,3482.897000,7,8,2429,57
1760409401.148136,90,34.122,35.113000,3518.010000,6,8,2429,57
1760409402.148175,91,33.713,35.418000,3553.428000,6,8,2539,57
1760409403.148187,92,33.465,35.411000,3588.839000,6,8,2244,57
1760409404.148184,93,33.869,35.774000,3624.613000,6,8,2023,57
1760409405.148166,94,33.633,35.743000,3660.356000,6,8,2023,57
1760409406.148166,95,33.805,36.301000,3696.657000,7,8,2023,57
1760409407.148163,96,33.691,36.042000,3732.699000,6,8,2023,57
1760409408.148131,97,33.907,34.419000,3767.118000,8,8,2023,57
1760409409.148193,98,34.791,35.373000,3802.491000,6,8,2429,57
1760409410.148188,99,34.238,34.930000,3837.421000,6,8,2429,57
1760409411.148166,100,34.049,34.871000,3872.292000,6,8,2429,57
1760409412.148186,101,33.815,34.883000,3907.175000,7,8,2429,57
1760409413.148187,102,33.814,35.205000,3942.380000,7,8,2429,57
1760409414.148189,103,34.040,35.471000,3977.851000,6,8,2429,57
1760409415.148134,104,33.863,35.511000,4013.362000,6,8,2429,57
1760409416.148188,105,33.505,35.134000,4048.496000,7,8,2429,57
1760409417.148191,106,33.314,35.313000,4083.809000,6,8,2429,57
1760409418.148162,107,33.240,35.632000,4119.441000,7,8,2429,57
1760409419.148175,108,33.710,36.059000,4155.500000,6,8,2429,56
1760409420.148192,109,33.667,36.137000,4191.637000,7,8,2429,56
1760409421.148187,110,33.622,36.364000,4228.001000,6,8,2429,56
1760409422.148140,111,33.699,36.639000,4264.640000,7,8,2429,56
1760409423.148133,112,33.548,36.466000,4301.106000,5,8,2429,56
1760409424.148138,113,33.387,36.670000,4337.776000,6,8,2429,56
1760409425.148185,114,33.429,36.738000,4374.514000,6,8,2429,56
1760409426.148186,115,33.475,37.118000,4411.632000,6,8,2429,56
1760409427.148184,116,33.434,37.274000,4448.906000,6,8,2429,56
1760409428.148185,117,33.606,37.464000,4486.370000,7,8,2429,56
1760409429.148169,118,33.493,37.599000,4523.969000,7,8,2429,56
1760409430.148191,119,33.498,37.902000,4561.871000,7,8,2429,56
1760409431.148179,120,33.579,38.099000,4599.970000,6,7,2429,56
1760409432.148186,121,33.646,38.398000,4638.368000,7,8,2429,56
1760409433.148160,122,33.733,38.462000,4676.830000,7,8,2429,56
1760409434.148179,123,33.440,38.249000,4715.079000,6,8,2429,56
1760409435.148165,124,32.891,38.064000,4753.143000,6,8,2429,55
1760409436.148185,125,33.160,38.634000,4791.777000,6,8,2429,56
1760409437.148137,126,33.518,39.055000,4830.832000,7,9,2429,56
1760409438.148185,127,33.591,38.417000,4869.249000,6,8,2429,56
1760409439.148134,128,33.346,36.472000,4905.721000,6,7,2490,56
1760409440.148184,129,33.572,36.823000,4942.544000,6,7,2023,56
1760409441.148131,130,33.490,38.366000,4980.910000,6,8,2023,55
1760409442.148137,131,33.420,38.359000,5019.269000,7,8,2023,56
1760409443.148138,132,33.268,36.481000,5055.750000,7,8,2023,56
1760409444.148170,133,33.373,35.876000,5091.626000,6,7,2023,56
1760409445.148167,134,33.039,38.325000,5129.951000,6,7,2305,56
1760409446.148187,135,33.699,39.742000,5169.693000,6,8,2429,56
1760409447.148187,136,33.444,36.804000,5206.497000,7,8,2429,56
1760409448.148198,137,33.491,38.407000,5244.904000,6,8,2429,56
1760409449.148192,138,33.428,36.417000,5281.321000,6,8,2429,56
1760409450.148185,139,33.464,38.457000,5319.778000,7,9,2429,56
1760409451.148185,140,33.448,36.137000,5355.915000,7,8,2429,56
1760409452.148194,141,33.503,38.524000,5394.439000,6,8,2429,56
1760409453.148169,142,33.412,36.783000,5431.222000,6,8,2429,55
1760409454.148193,143,33.103,36.104000,5467.326000,5,7,2429,55
1760409455.148186,144,33.036,36.190000,5503.516000,6,8,2429,55
