ts,cpu_percent,rss_mb,power_w,energy_j_total
1760412119.3318207,56.00,239.90,0.000,0.000000
1760412120.3318048,58.00,241.15,2.117,2.116605
1760412121.3318481,17.00,230.04,1.619,3.735708
1760412122.3317976,44.00,231.41,1.374,5.109263
1760412123.3318205,18.00,231.91,1.657,6.765977
1760412124.3318453,0.00,231.91,0.266,7.031649
1760412125.331843,1.00,231.91,0.153,7.184809
1760412126.3318174,0.00,231.91,0.172,7.357163
1760412127.331848,0.00,231.91,0.165,7.521996
1760412128.3318365,0.00,231.91,0.166,7.687957
1760412129.331812,0.00,231.91,0.162,7.850134
1760412130.3318408,0.00,231.91,0.163,8.013273
1760412131.331842,1.00,231.91,0.170,8.183598
1760412132.3318362,0.00,231.91,0.166,8.349452
1760412133.3318102,0.00,231.91,0.164,8.513613
1760412134.331841,0.00,231.91,0.161,8.674188
1760412135.3318424,0.00,231.91,0.161,8.835038
1760412136.3318179,0.00,231.91,0.173,9.007698
1760412137.3318436,1.00,231.91,0.300,9.307914
1760412138.3318443,0.00,231.91,0.181,9.488599
1760412139.3318102,0.00,231.91,0.181,9.670017
1760412140.3318424,0.00,231.91,0.182,9.852014
1760412141.3318443,0.00,231.91,0.170,10.021943
1760412142.3318164,1.00,231.91,0.177,10.199164
1760412143.3318384,0.00,231.91,0.182,10.380857
1760412144.3317907,0.00,231.91,0.162,10.542988
1760412145.331834,0.00,231.91,0.168,10.711009
1760412146.3318386,0.00,231.91,0.174,10.884554
1760412147.3317933,0.00,231.91,0.166,11.050149
1760412148.3318431,2.00,231.91,0.170,11.219741
1760412149.3318021,0.00,231.91,0.169,11.388236
1760412150.3318365,0.00,231.91,0.175,11.562970
1760412151.331794,0.00,231.91,0.172,11.734562
1760412152.331791,0.00,231.91,0.171,11.905482
1760412153.3318398,1.00,231.91,0.175,12.080232
1760412154.33184,0.00,231.91,0.185,12.265113
1760412155.3318121,0.00,231.91,0.175,12.440107
1760412156.3318508,0.00,231.91,0.170,12.610035
1760412157.331841,0.00,231.91,0.168,12.777858
1760412158.3318393,1.00,231.91,0.168,12.945803
1760412159.3317904,0.00,231.91,0.172,13.118172
1760412160.3318126,0.00,231.91,0.171,13.289398
1760412161.3318348,0.00,231.91,0.165,13.454794
1760412162.3318374,0.00,231.91,0.191,13.645519
1760412163.331849,1.00,231.91,0.250,13.895766
1760412164.33184,0.00,231.91,0.167,14.062414
1760412165.3318396,0.00,231.91,0.180,14.242260
1760412166.331813,0.00,231.91,0.200,14.442689
1760412167.331837,0.00,231.91,0.179,14.622092
1760412168.3318398,0.00,231.91,0.173,14.794828
1760412169.3318408,1.00,231.91,0.172,14.966999
1760412170.3317933,0.00,231.91,0.176,15.143336
1760412171.3318474,0.00,231.91,0.173,15.315996
1760412172.3318398,0.00,231.91,0.165,15.481240
1760412173.3318403,0.00,231.91,0.167,15.648651
1760412174.3318434,1.00,231.91,0.161,15.809531
1760412175.3318117,0.00,231.91,0.163,15.972624
1760412176.3318408,0.00,231.91,0.181,16.153385
