ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760413993.240967,0,21.327,0.000000,0.000000,7,9,1211,54
1760413994.240939,1,33.940,36.911000,36.911000,10,10,1493,55
1760413995.240941,2,34.529,44.896000,81.807000,8,9,2023,56
1760413996.240961,3,34.038,44.874000,126.681000,9,9,2429,56
1760413997.240994,4,33.684,44.662000,171.343000,6,8,2429,56
1760413998.240940,5,34.128,36.954000,208.297000,6,8,2429,56
1760413999.240983,6,34.286,37.204000,245.501000,7,8,2429,57
1760414000.240988,7,34.379,37.167000,282.668000,7,8,2429,57
1760414001.240959,8,34.214,36.973000,319.641000,6,8,2429,57
1760414002.240984,9,34.067,36.868000,356.509000,6,8,2429,57
1760414003.240988,10,33.756,36.650000,393.159000,6,8,2429,57
1760414004.240975,11,33.527,36.495000,429.654000,7,8,2429,57
1760414005.240959,12,33.828,36.714000,466.368000,7,9,2429,58
1760414006.240960,13,33.990,36.713000,503.081000,7,9,2429,58
1760414007.240990,14,34.117,37.000000,540.081000,6,8,2429,58
1760414008.240939,15,34.137,37.041000,577.122000,6,8,2429,58
1760414009.241108,16,34.314,37.245000,614.367000,6,8,2429,58
1760414010.240990,17,34.337,37.287000,651.654000,6,8,2429,58
1760414011.240983,18,34.536,37.400000,689.054000,7,9,2429,58
1760414012.240937,19,34.676,37.506000,726.560000,6,9,2429,59
1760414013.240987,20,34.790,37.649000,764.209000,7,9,2429,59
1760414014.240950,21,34.724,37.654000,801.863000,7,9,2429,59
1760414015.240959,22,34.680,37.640000,839.503000,7,8,2429,59
1760414016.240962,23,34.850,37.959000,877.462000,7,9,2429,59
1760414017.240985,24,34.851,38.399000,915.861000,6,8,2429,59
1760414018.240940,25,34.739,38.511000,954.372000,6,8,2429,59
1760414019.240987,26,34.500,38.330000,992.702000,6,8,2429,59
1760414020.240988,27,34.346,37.989000,1030.691000,6,8,2429,60
1760414021.240989,28,34.342,38.231000,1068.922000,7,9,2429,60
1760414022.240987,29,34.484,38.529000,1107.451000,7,8,2429,60
1760414023.240965,30,34.626,38.897000,1146.348000,7,9,2429,60
1760414024.240942,31,34.639,39.019000,1185.367000,7,9,2429,60
1760414025.240940,32,34.674,39.169000,1224.536000,7,9,2429,60
1760414026.240991,33,34.734,39.278000,1263.814000,6,8,2429,61
1760414027.240988,34,34.662,39.588000,1303.402000,7,8,2429,61
1760414028.240989,35,34.767,39.867000,1343.269000,6,8,2429,61
1760414029.240988,36,34.849,40.238000,1383.507000,6,8,2429,61
1760414030.240987,37,34.975,40.463000,1423.970000,6,8,2429,61
1760414031.240996,38,35.072,40.632000,1464.602000,7,8,2429,61
1760414032.240987,39,35.386,41.191000,1505.793000,7,9,2429,61
1760414033.240960,40,35.927,41.759000,1547.552000,7,9,2429,61
1760414034.240984,41,35.980,41.972000,1589.524000,7,9,2429,62
1760414035.240939,42,35.695,42.004000,1631.528000,7,8,2429,62
1760414036.240988,43,35.350,41.671000,1673.199000,6,8,2429,62
